URL,Depth,HTTP Code,Title,H1,Meta Description,Outbound Links
https://www.ihmn.be/mentions-legales,2,200,Mentions légales,Mentions légales,,20
https://ihmn.be/images/Documents/ihmn_mentions_legales_230601.pdf,2,200,,,,0
https://ihmn.be/nos-therapeuthes/bruxelles/marie-verwacht,3,200,Marie VERWACHT,Marie VERWACHT,,19
https://ihmn.be/nos-therapeuthes/bruxelles/karin-schepens,3,200,Karin SCHEPENS,Karin SCHEPENS,,19
https://ihmn.be/nos-therapeuthes/bruxelles/patricia-deuse,3,200,Patricia DEUSE,Patricia DEUSE,,19
https://ihmn.be/nos-therapeuthes/brabant-wallon/dominique-vanboquestal,3,200,Dominique VANBOQUESTAL,Dominique VANBOQUESTAL,,19
https://ihmn.be/nos-therapeuthes/brabant-wallon/nathalie-seghers,3,200,Nathalie SEGHERS,Nathalie SEGHERS,,19
https://ihmn.be/nos-therapeuthes/brabant-wallon/salome-mulongo,3,200,Salomé MULONGO,Salomé MULONGO,,19
https://ihmn.be/nos-therapeuthes/brabant-wallon/laurence-mertens-de-wilmars,3,200,Laurence MERTENS DE WILMARS,Laurence MERTENS DE WILMARS,,19
https://ihmn.be/nos-therapeuthes/brabant-wallon/valerie-garab,3,200,Valérie GARAB,Valérie GARAB,,19
https://ihmn.be/nos-therapeuthes/brabant-flamand/marilina-nicoletti,3,200,Marilina NICOLETTI,Marilina NICOLETTI,,19
https://ihmn.be/nos-therapeuthes/limbourg/laurence-mertens-de-wilmars-2,3,200,Laurence MERTENS DE WILMARS,Laurence MERTENS DE WILMARS,,19
https://ihmn.be/nos-therapeuthes/liege/flavie-stevens,3,200,Flavie STEVENS,Flavie STEVENS,,19
https://ihmn.be/nos-therapeuthes/liege/sylvie-poupaert,3,200,Sylvie POUPAERT,Sylvie POUPAERT,,19
https://ihmn.be/nos-therapeuthes/liege/valerie-poty,3,200,Valérie POTY,Valérie POTY,,19
https://ihmn.be/nos-therapeuthes/liege/christelle-lequeux,3,200,Christelle LEQUEUX,Christelle LEQUEUX,,19
https://ihmn.be/nos-therapeuthes/liege/marie-christine-lacroix,3,200,Marie-Christine LACROIX,Marie-Christine LACROIX,,19
https://ihmn.be/nos-therapeuthes/liege/caroline-julin,3,200,Caroline JULIN,Caroline JULIN,,19
https://ihmn.be/nos-therapeuthes/liege/veronique-evrard,3,200,Véronique EVRARD,Véronique EVRARD,,20
https://ihmn.be/nos-therapeuthes/liege/christine-dhondt,3,200,Christine DHONDT,Christine DHONDT,,19
https://ihmn.be/nos-therapeuthes/liege/veronique-dewez,3,200,Véronique DEWEZ,Véronique DEWEZ,,19
https://ihmn.be/nos-therapeuthes/liege/catherine-campioni,3,200,Catherine CAMPIONI,Catherine CAMPIONI,,19
https://ihmn.be/nos-therapeuthes/namur/fanny-paquot,3,200,Fanny PAQUOT,Fanny PAQUOT,,19
https://ihmn.be/nos-therapeuthes/namur/sabine-pairon,3,200,Sabine PAIRON,Sabine PAIRON,,19
https://ihmn.be/nos-therapeuthes/namur/charline-nocart,3,200,Charline NOCART,Charline NOCART,,19
https://ihmn.be/nos-therapeuthes/namur/marie-stephanie-jeanmart,3,200,Marie-Stéphanie JEANMART,Marie-Stéphanie JEANMART,,19
https://ihmn.be/nos-therapeuthes/namur/christophe-issad,3,200,Christophe ISSAD,Christophe ISSAD,,19
https://ihmn.be/nos-therapeuthes/namur/valerie-garab-2-2-2-2-2-2-2,3,200,Valérie GARAB,Valérie GARAB,,19
https://ihmn.be/nos-therapeuthes/namur/ariane-de-meeus,3,200,Ariane de MEEUS,Ariane de MEEUS,,19
https://ihmn.be/nos-therapeuthes/namur/melissa-collin,3,200,Mélissa COLLIN,Mélissa COLLIN,,19
https://ihmn.be/nos-therapeuthes/hainaut/marie-pierre-benoit,3,200,Marie-Pierre BENOIT,Marie-Pierre BENOIT,,19
https://www.ihmn.be/formations/naturopathie#tab-15435291221,3,200,Naturopathie (formation),Naturopathie,,23
https://www.ihmn.be/formations/naturopathie#tab-15435291222,3,200,Naturopathie (formation),Naturopathie,,23
https://www.ihmn.be/formations/naturopathie#tab-1543529142771,3,200,Naturopathie (formation),Naturopathie,,23
https://www.ihmn.be/formations/naturopathie#tab-1543529148885,3,200,Naturopathie (formation),Naturopathie,,23
